date,id,n1,n2,n3,n4,n5,n6
2020-09-09,636,19,21,34,35,36,39
2020-09-11,637,4,11,13,16,17,33
2020-09-13,638,20,23,28,37,40,44
2020-09-16,639,5,20,29,30,38,40
2020-09-18,640,10,19,21,23,27,33
2020-09-20,641,5,7,9,13,15,16
2020-09-23,642,2,8,17,23,30,41
2020-09-25,643,14,20,22,35,44,45
2020-09-27,644,1,12,26,31,37,38
2020-09-30,645,2,5,31,32,42,44
2020-10-02,646,9,11,21,31,32,37
2020-10-04,647,9,16,19,25,26,39
2020-10-07,648,13,15,25,26,28,34
2020-10-09,649,15,19,23,30,33,39
2020-10-11,650,12,18,28,31,40,45
2020-10-14,651,4,7,23,32,43,44
2020-10-16,652,4,14,16,23,24,27
2020-10-18,653,1,14,25,26,30,40
2020-10-21,654,4,11,26,36,38,41
2020-10-23,655,5,10,16,23,34,45
2020-10-25,656,11,19,30,38,41,45
2020-10-28,657,1,4,7,15,35,45
2020-10-30,658,4,5,14,18,23,43
2020-11-01,659,6,21,27,30,32,44
2020-11-04,660,3,8,11,13,26,38
